"","DATE.OF.INTERVIEW","X1.9..latitude.","X1.9..longitude.","area.m3","Perception.of.the.fill.level","people.using.toilet","days.to.fill","date.full","Transport"
"1","2017-03-20",NA,NA,4.5,"Almost full",24,366.2109375,"2018-03-21","Vacuum Tanker"
"2","2017-03-20",-15.4316333,28.2451733,4.5,"Almost full",38,231.291118421053,"2017-11-06","Vacuum Tanker"
"3","2017-03-20",-15.430095,28.2422033,4.5,"Almost empty",13,2028.24519230769,"2022-10-08","Vacuum Tanker"
"4","2017-03-20",-15.4294583,28.2438017,0,"Half-full",18,0,"2017-03-20","Vacuum Tanker"
"5",NA,NA,NA,4.5,"Half-full",8,2197.265625,NA,"Vacuum Tanker"
"6","2017-03-20",-15.4314333,28.245025,4.5,"Half-full",7,2511.16071428571,"2024-02-03","Vacuum Tanker"
"7","2017-03-20",-15.4295433,28.2440967,4.5,"Almost full",13,676.081730769231,"2019-01-25","Vacuum Tanker"
"8","2017-03-20",-15.4317683,28.2448567,4.5,"Half-full",390,45.0721153846154,"2017-05-04","Vacuum Tanker"
"9","2017-03-27",-15.42974,28.241685,4.5,"Almost full",33,266.335227272727,"2017-12-18","Vacuum Tanker"
"10","2017-03-20",-15.431175,28.244325,12.5,"Almost empty",11,6658.38068181818,"2035-06-12","Vacuum Tanker"
"11","2017-03-20",-15.4314767,28.2443517,4.5,"Almost empty",9,2929.6875,"2025-03-27","Vacuum Tanker"
"12","2017-03-20",-15.4300983,28.2419417,4.5,"Half-full",30,585.9375,"2018-10-26","Vacuum Tanker"
"13","2017-03-20",-15.4299367,28.241575,0,"Half-full",16,0,"2017-03-20","Vacuum Tanker"
"14","2017-03-20",-15.4313083,28.2446883,4.5,"Half-full",99,177.556818181818,"2017-09-13","Vacuum Tanker"
"15","2017-03-20",-15.4297167,28.2443233,4.5,"Almost full",23,382.133152173913,"2018-04-06","Vacuum Tanker"
"16","2017-03-20",-15.4298233,28.2414417,4.5,"Half-full",6,2929.6875,"2025-03-27","Vacuum Tanker"
"17",NA,-15.4295717,28.2414767,4.5,"Almost full",11,799.005681818182,NA,"Vacuum Tanker"
"18","2017-03-20",-15.4301483,28.2412983,4.5,"Almost full",5,1757.8125,"2022-01-10","Vacuum Tanker"
"19","2017-03-20",-15.431075,28.243825,12.5,"Almost empty",18,4069.01041666667,"2028-05-10","Vacuum Tanker"
"20","2017-03-20",NA,NA,4.5,NA,12,1464.84375,"2021-03-23","Vacuum Tanker"
"21","2017-03-20",-15.43068,28.2439533,4.5,"Almost full",9,976.5625,"2019-11-21","Vacuum Tanker"
"22","2017-03-20",-15.42929,28.2442183,12.5,"Almost empty",16,4577.63671875,"2029-09-30","Vacuum Tanker"
"23","2017-03-20",-15.4314717,28.2442683,12.5,"Almost empty",4,18310.546875,"2067-05-07","Vacuum Tanker"
"24","2017-03-20",-15.4296217,28.2413117,4.5,"Half-full",19,925.164473684211,"2019-10-01","Vacuum Tanker"
"25","2017-03-20",-15.4297717,28.24107,4.5,"Almost full",13,676.081730769231,"2019-01-25","Vacuum Tanker"
"26","2017-03-20",-15.4297883,28.2411333,4.5,"Half-full",19,925.164473684211,"2019-10-01","Vacuum Tanker"
"27","2017-03-20",-15.43145,28.2440083,12.5,"Almost full",25,976.5625,"2019-11-21","Vacuum Tanker"
"28","2017-03-20",-15.4313417,28.2435867,12.5,"Almost empty",14,5231.58482142857,"2031-07-16","Vacuum Tanker"
"29","2017-03-20",NA,NA,0,"Almost empty",17,0,"2017-03-20","Vacuum Tanker"
"30","2017-03-20",-15.4315017,28.243425,4.5,"Half-full",26,676.081730769231,"2019-01-25","Vacuum Tanker"
"31","2017-03-20",-15.4299583,28.2407083,4.5,"Almost full",32,274.658203125,"2017-12-19","Vacuum Tanker"
"32","2017-03-20",-15.4312267,28.2433017,12.5,"Almost empty",6,12207.03125,"2050-08-21","Vacuum Tanker"
"33","2017-03-20",NA,NA,0,"Almost full",8,0,"2017-03-20","Vacuum Tanker"
"34","2017-03-20",-15.4294567,28.240645,4.5,"Half-full",12,1464.84375,"2021-03-23","Push Cart"
"35","2017-03-20",-15.4308717,28.2437117,4.5,"Half-full",15,1171.875,"2020-06-03","Push Cart"
"36","2017-03-20",NA,NA,4.5,"Almost full",21,418.526785714286,"2018-05-12","Vacuum Tanker"
"37","2017-03-20",-15.4311883,28.2428317,4.5,"Almost full",46,191.066576086957,"2017-09-27","Light Truck"
"38","2017-03-20",-15.431265,28.24284,4.5,"Almost full",10,878.90625,"2019-08-15","Vacuum Tanker"
"39","2017-03-20",-15.431525,28.2430167,12.5,"Half-full",15,3255.20833333333,"2026-02-16","Vacuum Tanker"
"40","2017-03-20",-15.4312017,28.242835,12.5,"Almost empty",4,18310.546875,"2067-05-07","Vacuum Tanker"
"41","2017-03-20",-15.43114,28.243395,4.5,"Almost full",10,878.90625,"2019-08-15","Push Cart"
"42","2017-03-20",-15.4309067,28.2435383,4.5,"Almost empty",9,2929.6875,"2025-03-27","Vacuum Tanker"
"43","2017-03-20",-15.4274733,28.2438817,4.5,"Half-full",5,3515.625,"2026-11-03","Vacuum Tanker"
"44","2017-03-20",NA,NA,4.5,"Almost full",18,488.28125,"2018-07-21","Vacuum Tanker"
"45","2017-03-20",-15.4305017,28.2436983,4.5,"Almost empty",13,2028.24519230769,"2022-10-08","Vacuum Tanker"
"46","2017-03-20",-15.4299467,28.2445367,12.5,"Almost full",21,1162.5744047619,"2020-05-25","Vacuum Tanker"
"47","2017-03-20",-15.427525,28.2434567,4.5,"Full",14,251.116071428571,"2017-11-26","Vacuum Tanker"
"48","2017-03-20",-15.4302317,28.243025,4.5,"Half-full",20,878.90625,"2019-08-15","Push Cart"
"49","2017-03-20",-15.429535,28.2408533,12.5,"Half-full",14,3487.72321428571,"2026-10-06","Vacuum Tanker"
"50","2017-03-20",-15.4296417,28.2401167,4.5,"Half-full",7,2511.16071428571,"2024-02-03","Vacuum Tanker"
"51","2017-03-20",-15.4306967,28.24278,0,"Almost empty",15,0,"2017-03-20","Vacuum Tanker"
"52","2017-03-20",NA,NA,4.5,"Almost full",10,878.90625,"2019-08-15","Vacuum Tanker"
"53","2017-03-20",-15.4299333,28.24044,12.5,"Half-full",9,5425.34722222222,"2032-01-26","Vacuum Tanker"
"54","2017-03-20",-15.4301633,28.2431333,0,"Almost full",7,0,"2017-03-20","Vacuum Tanker"
"55","2017-03-20",-15.4309683,28.24282,4.5,"Almost full",12,732.421875,"2019-03-22","Vacuum Tanker"
"56","2017-03-20",-15.430995,28.2428767,4.5,"Almost empty",8,3295.8984375,"2026-03-28","Vacuum Tanker"
"57","2017-03-20",-15.4277317,28.2439733,12.5,"Almost empty",6,12207.03125,"2050-08-21","Vacuum Tanker"
"58","2017-03-20",-15.4296883,28.2400833,4.5,"Half-full",3,5859.375,"2033-04-04","Vacuum Tanker"
"59","2017-03-20",-15.4291233,28.2448517,4.5,"Half-full",15,1171.875,"2020-06-03","Vacuum Tanker"
"60","2017-03-20",-15.428945,28.23988,4.5,"Half-full",16,1098.6328125,"2020-03-22","Vacuum Tanker"
"61","2017-03-21",-15.4306967,28.24179,12.5,"Almost full",7,3487.72321428571,"2026-10-07","Vacuum Tanker"
"62","2017-03-21",-15.4309417,28.24206,12.5,"Almost empty",21,3487.72321428571,"2026-10-07","Light Truck"
"63","2017-03-21",-15.4308183,28.2416417,0,"Almost empty",12,0,"2017-03-21","Vacuum Tanker"
"64","2017-03-14",-15.42856,28.2402533,12.5,"Almost empty",11,6658.38068181818,"2035-06-06","Vacuum Tanker"
"65","2017-03-21",-15.4310517,28.2426267,4.5,"Full",40,87.890625,"2017-06-16","Vacuum Tanker"
"66","2017-03-21",-15.4273367,28.2434733,12.5,"Almost empty",14,5231.58482142857,"2031-07-17","Vacuum Tanker"
"67","2017-03-21",-15.4286833,28.2401017,4.5,"Almost full",16,549.31640625,"2018-09-21","Vacuum Tanker"
"68","2017-03-21",-15.4290617,28.2445783,12.5,"Half-full",19,2569.90131578947,"2024-04-02","Vacuum Tanker"
"69","2017-03-21",-15.4283833,28.23972,4.5,"Half-full",44,399.502840909091,"2018-04-24","Vacuum Tanker"
"70","2017-03-21",NA,NA,12.5,"Almost empty",9,8138.02083333333,"2039-07-02","Vacuum Tanker"
"71","2017-03-21",-15.42847,28.2407,4.5,"Almost full",7,1255.58035714286,"2020-08-27","Vacuum Tanker"
"72","2017-03-21",-15.4282833,28.240195,4.5,"Almost full",4,2197.265625,"2023-03-27","Vacuum Tanker"
"73","2017-03-21",-15.42878,28.2405167,4.5,"Almost full",36,244.140625,"2017-11-20","Vacuum Tanker"
"74","2017-03-21",-15.4303167,28.24233,12.5,"Half-full",48,1017.25260416667,"2020-01-02","Vacuum Tanker"
"75","2017-03-21",NA,NA,4.5,"Almost full",15,585.9375,"2018-10-27","Vacuum Tanker"
"76","2017-03-21",-15.4304733,28.2426017,12.5,"Half-full",20,2441.40625,"2023-11-26","Vacuum Tanker"
"77","2017-03-21",-15.4303917,28.2427267,12.5,NA,6,8138.02083333333,"2039-07-02","Vacuum Tanker"
"78","2017-03-21",-15.4303033,28.242875,4.5,"Almost full",17,517.003676470588,"2018-08-20","Vacuum Tanker"
"79","2017-03-21",-15.42899,28.24026,12.5,"Half-full",14,3487.72321428571,"2026-10-07","Vacuum Tanker"
"80","2017-03-21",-15.4293833,28.2408133,4.5,"Almost empty",10,2636.71875,"2024-06-08","Push Cart"
