"latitude","longitude","altitude"
NA,NA,NA
-15.4316333,28.2451733,1289.8
-15.430095,28.2422033,1268.9
-15.4294583,28.2438017,1291.6
NA,NA,NA
-15.4314333,28.245025,1270.7
-15.4295433,28.2440967,1288.2
-15.4317683,28.2448567,1270.7
-15.42974,28.241685,1282.3
-15.431175,28.244325,1261.4
-15.4314767,28.2443517,1282.4
-15.4300983,28.2419417,1289.4
-15.4299367,28.241575,1275.4
-15.4313083,28.2446883,1251.8
-15.4297167,28.2443233,1257.4
-15.4298233,28.2414417,1265.3
-15.4295717,28.2414767,1293.1
-15.4301483,28.2412983,1269.8
-15.431075,28.243825,1276.3
NA,NA,NA
-15.43068,28.2439533,1279.3
-15.42929,28.2442183,1280.2
-15.4314717,28.2442683,1274.8
-15.4296217,28.2413117,1276.7
-15.4297717,28.24107,1281.4
-15.4297883,28.2411333,1278.4
-15.43145,28.2440083,1275.3
-15.4313417,28.2435867,1278.4
NA,NA,NA
-15.4315017,28.243425,1268.5
-15.4299583,28.2407083,1302.8
-15.4312267,28.2433017,1285.4
NA,NA,NA
-15.4294567,28.240645,1284.5
-15.4308717,28.2437117,1269.3
NA,NA,NA
-15.4311883,28.2428317,1241.9
-15.431265,28.24284,1268.3
-15.431525,28.2430167,1270.6
-15.4312017,28.242835,1278
-15.43114,28.243395,1279.6
-15.4309067,28.2435383,1288.3
-15.4274733,28.2438817,1303.3
NA,NA,NA
-15.4305017,28.2436983,1287.1
-15.4299467,28.2445367,1276.6
-15.427525,28.2434567,1280.7
-15.4302317,28.243025,1275.8
-15.429535,28.2408533,1268.2
-15.4296417,28.2401167,1294
-15.4306967,28.24278,1283.6
NA,NA,NA
-15.4299333,28.24044,1262.5
-15.4301633,28.2431333,1276.4
-15.4309683,28.24282,1281.5
-15.430995,28.2428767,1290.7
-15.4277317,28.2439733,1278.5
-15.4296883,28.2400833,1297.8
-15.4291233,28.2448517,1286.3
-15.428945,28.23988,1270.4
-15.4306967,28.24179,1278.6
-15.4309417,28.24206,1246.5
-15.4308183,28.2416417,1274.7
-15.42856,28.2402533,1284.8
-15.4310517,28.2426267,1283
-15.4273367,28.2434733,1267.7
-15.4286833,28.2401017,1280.1
-15.4290617,28.2445783,1269.8
-15.4283833,28.23972,1271.4
NA,NA,NA
-15.42847,28.2407,1277.5
-15.4282833,28.240195,1259
-15.42878,28.2405167,1251.7
-15.4303167,28.24233,1267.9
NA,NA,NA
-15.4304733,28.2426017,1274
-15.4303917,28.2427267,1265.7
-15.4303033,28.242875,1288.1
-15.42899,28.24026,1272.2
-15.4293833,28.2408133,1273.4
-15.4219783,28.2420467,1290.2
-15.4220133,28.242565,1235
-15.4220083,28.2425,1274
-15.4286017,28.2407033,1272.8
-15.4221367,28.242395,1293.6
-15.4288683,28.24107,1276.7
-15.4268967,28.24242,1302.6
