"TAKE  PHOTO OF INSIDE THE TOILET","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered) (latitude)","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered) (longitude)","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered - accuracy)","TAKE  PHOTO OF INSIDE THE TOILET (Location Answered - altitude)","TAKE PHOTO OF OUTSIDE THE TOILET/CONTAINMENT ","Perception of the fill level","Condition of the components: Roof - Score Condition","Condition of the components: Wall - Score Condition","Condition of the components: Floor - Score Condition","Condition of the components: Interface - Score Condition","Condition of the components: Substructure/Containment  - Score Condition"
"https://api.mwater.co/v3/images/5846820222e34f498562f1e64b084f79",NA,NA,NA,NA,"https://api.mwater.co/v3/images/374b3d3f393043b6a0ec95e8746625a6",2,4,4,4,4,4
"https://api.mwater.co/v3/images/a3425572a383499f91790df89b9650ea",-15.4317167,28.2450417,4.59999990463256,1273,"https://api.mwater.co/v3/images/e235dcf0080045b9a1b948d76014aae3",2,1,4,4,4,4
"https://api.mwater.co/v3/images/a6c31f6db2784a5298958e8aa55aff74",-15.4300133,28.242355,4.19999980926513,1223.5,"https://api.mwater.co/v3/images/4f7c5b6e895b4ad4bd180b8383af1532",4,2,4,4,4,2
"https://api.mwater.co/v3/images/ac7eebf33c48474a921233d4bcb26afe https://api.mwater.co/v3/images/c1aeb2a589834ac58c4cd21e56dce610",-15.4293917,28.2440933,4.80000019073486,1277.1,"https://api.mwater.co/v3/images/147babf09c7047f585d4c9549b6479b9",3,4,4,3,3,3
"https://api.mwater.co/v3/images/caaa3cb514f2467698e10c5cbe346483",-15.4287617,28.24351,4.80000019073486,1273.6,"https://api.mwater.co/v3/images/dd4b107602e847099f7dc2c10cc1e886",3,4,4,4,4,4
"https://api.mwater.co/v3/images/d46f65b42e4b4df4973d918dd6693a9a",NA,NA,NA,NA,"https://api.mwater.co/v3/images/6cef94b490c84ec9b738d6717022a844",3,5,4,4,4,4
"https://api.mwater.co/v3/images/60fa3f7b26af464d8ce25383a0e79d64",-15.4316367,28.244595,4.69999980926513,1183.6,"https://api.mwater.co/v3/images/9b75c1d5b5e0409d9c2b3a6ac2b0557a",2,3,3,4,3,4
"https://api.mwater.co/v3/images/beb490f5577f40fc8194a393297ea495 https://api.mwater.co/v3/images/93c67ffffc954a2192390b016295e47f https://api.mwater.co/v3/images/896c2a6f486442888b4a49bf37bd5a72",-15.4297367,28.2418783,5.09999990463256,1304.6,"https://api.mwater.co/v3/images/1903dd695e854662b2f6b3a2d28012cd",2,2,3,3,3,3
"https://api.mwater.co/v3/images/2d1fc7df18844e93b9d9bf91f345f14b",-15.4315933,28.2450067,5,1283.6,"https://api.mwater.co/v3/images/42c8ff1b3aa145cf976b4b35a1cdf02d",3,1,3,3,2,2
"https://api.mwater.co/v3/images/6d3b805f8f32410aba126747fb42ae09",-15.4295783,28.2440083,4.80000019073486,1292.5,"https://api.mwater.co/v3/images/f168b5de39d7447fa97174d2cb417372",2,1,1,3,2,1
"https://api.mwater.co/v3/images/103b7faf425e41a19799d21232ad1790",-15.4287583,28.243665,4.69999980926513,1283,"https://api.mwater.co/v3/images/2ce05dff0ed04fcba26e3c52674ff2a0",2,4,4,4,4,4
"https://api.mwater.co/v3/images/a68a7178b28347edaee71821330b39ea",-15.4316083,28.2447617,4.59999990463256,1276.5,"https://api.mwater.co/v3/images/8b5cacd0a654443089b3e35273a27e36",3,4,3,3,3,3
"https://api.mwater.co/v3/images/97c8a35f7c004062978c507c6699da68",-15.4288433,28.2434183,4.69999980926513,1265.7,"https://api.mwater.co/v3/images/54e46dc95cd3412e8c1f985c9d9b5122",3,3,3,3,NA,3
"https://api.mwater.co/v3/images/51fcdacc04ef49e38afe6dba2d4869b9",-15.4296233,28.2418867,9.80000019073486,1280.4,"https://api.mwater.co/v3/images/5283b12c14644a36bcab65b546cdb2fd",2,4,4,4,4,4
"https://api.mwater.co/v3/images/b15e2eb5aa414678897c8c125052dec1",NA,NA,NA,NA,"https://api.mwater.co/v3/images/6bc59c5d8a104597bae0c17f11a87a89",2,4,4,4,4,4
"https://api.mwater.co/v3/images/d64f9eb282404c69a85a1f2de0201005",-15.4312683,28.24421,4.69999980926513,1283.8,"https://api.mwater.co/v3/images/4dd084caa0824c7888a1abcde5683d59",4,1,5,4,4,4
"https://api.mwater.co/v3/images/b940c6b2181247f09f7e267c0e92a833",-15.4313733,28.2443883,5,1284.7,"https://api.mwater.co/v3/images/d338df9d886940bf990469240f271375",4,4,4,4,4,4
"https://api.mwater.co/v3/images/fbd44118f13c4932a70b509a8a8f204b https://api.mwater.co/v3/images/60e87c4a0df4490da9b5b4132acb19f2",-15.42976,28.2420783,4.80000019073486,1292.9,"https://api.mwater.co/v3/images/83a63981e661404ba47bc1a80a87420d",3,4,4,4,5,NA
"https://api.mwater.co/v3/images/a4e82f1a58494de5a71bbbcf4f91de7c https://api.mwater.co/v3/images/77dae7db262b434294fa4c8e5a159364",-15.4299133,28.241395,8.80000019073486,1300.5,"https://api.mwater.co/v3/images/865288742c154d5f963eee3d44a07eda",3,1,2,3,3,3
"https://api.mwater.co/v3/images/6bfd588fc4ac44f48f49dabbb517d6f5",-15.4283483,28.243725,4.90000009536743,1315.7,"https://api.mwater.co/v3/images/c2413c9bfa5a4c58b068f89b61e15b34",2,3,4,3,3,3
"https://api.mwater.co/v3/images/f267ddb01f944d709ce931ae69dd71d7",-15.4312267,28.2447117,5,1264.7,"https://api.mwater.co/v3/images/ae49f8a6640848a79a7a2c3c010e5a8b",3,2,3,3,3,3
"https://api.mwater.co/v3/images/f2028deb6a634beeb0c9b3b7ffa1f197",-15.4294183,28.2429967,9.10000038146972,1601.9,"https://api.mwater.co/v3/images/b8400fde74f547a68da3f56309f6cbe4",2,3,3,3,2,2
"https://api.mwater.co/v3/images/32823819fd7a437688915284c82b8242 https://api.mwater.co/v3/images/02d1a83160d547b09c5eda01c0c81f25",NA,NA,NA,NA,"https://api.mwater.co/v3/images/c6bcdb281f6d462d8626647544299c25",3,4,4,4,4,4
"https://api.mwater.co/v3/images/d60497e2ce224d00a8b5bcd7d0d953ac",-15.4298283,28.2415083,5,1272.7,"https://api.mwater.co/v3/images/cc3cd690164748348b5852822b18461e",3,4,4,4,4,4
"https://api.mwater.co/v3/images/630a6a4e11b54cd6916c2281fdd30cb7",-15.4311733,28.2441183,9,1262.4,"https://api.mwater.co/v3/images/16691fae411745f6870013a30fdb48e5",2,1,3,3,3,3
