"ID","Is.the.toilet.easily.accessible.to.the.following.people...Children","Is.the.toilet.easily.accessible.to.the.following.people...Persons.with.dissability","Is.the.toilet.easily.accessible.to.the.following.people...Women.at.night","Is.the.toilet.easily.accessible.to.the.following...Vacuum.Tanker","Is.the.toilet.easily.accessible.to.the.following...Light.Truck","Is.the.toilet.easily.accessible.to.the.following...Push.Cart"
"1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2",NA,NA,NA,NA,NA,NA
"3",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"4",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5",TRUE,NA,NA,TRUE,TRUE,TRUE
"6",TRUE,TRUE,TRUE,NA,NA,TRUE
"7",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8",TRUE,FALSE,TRUE,NA,TRUE,TRUE
"9",TRUE,NA,TRUE,NA,NA,TRUE
"10",NA,NA,NA,TRUE,TRUE,TRUE
"11",NA,TRUE,TRUE,TRUE,TRUE,TRUE
"12",TRUE,TRUE,TRUE,NA,NA,TRUE
"13",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"14",TRUE,NA,TRUE,TRUE,NA,NA
"15",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"16",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"17",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"18",TRUE,TRUE,NA,TRUE,TRUE,TRUE
"19",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"20",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"21",TRUE,TRUE,TRUE,TRUE,NA,NA
"22",NA,NA,NA,TRUE,TRUE,TRUE
"23",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"24",TRUE,TRUE,TRUE,NA,TRUE,TRUE
"25",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"26",TRUE,NA,TRUE,NA,TRUE,TRUE
"27",NA,FALSE,TRUE,TRUE,TRUE,TRUE
"28",TRUE,NA,FALSE,TRUE,NA,NA
"29",TRUE,TRUE,TRUE,NA,TRUE,NA
"30",NA,NA,NA,TRUE,NA,NA
"31",TRUE,TRUE,TRUE,NA,NA,TRUE
"32",TRUE,TRUE,NA,NA,NA,TRUE
"33",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"34",TRUE,TRUE,TRUE,NA,NA,NA
"35",TRUE,NA,TRUE,TRUE,TRUE,TRUE
"36",TRUE,NA,FALSE,TRUE,TRUE,TRUE
"37",NA,NA,FALSE,TRUE,TRUE,TRUE
"38",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"39",TRUE,TRUE,TRUE,NA,NA,TRUE
"40",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"41",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"42",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"43",TRUE,NA,TRUE,TRUE,NA,NA
"44",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"45",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46",TRUE,TRUE,TRUE,NA,NA,TRUE
"47",NA,NA,NA,NA,NA,TRUE
"48",TRUE,TRUE,TRUE,NA,NA,TRUE
"49",TRUE,TRUE,TRUE,NA,TRUE,NA
"50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"51",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"52",TRUE,NA,FALSE,TRUE,TRUE,TRUE
"53",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"54",TRUE,FALSE,TRUE,TRUE,NA,NA
"55",TRUE,TRUE,TRUE,NA,NA,TRUE
"56",TRUE,TRUE,TRUE,NA,NA,TRUE
"57",TRUE,NA,TRUE,NA,NA,TRUE
"58",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
