"ID","DATE.OF.INTERVIEW","Families_on_the_plot","adults.using.toilet","children.using.toilet","people.using.toilet","People_on_the_plot","Landlord.live.in.the.plot.","How.many.people.use.the.toilets.on.this.plot...Children...Male","How.many.people.use.the.toilets.on.this.plot...Children...Female","How.many.people.use.the.toilets.on.this.plot...Adults...Male","How.many.people.use.the.toilets.on.this.plot...Adults...Female"
"1","2017-03-20",4,7,17,24,25,"Yes",4,13,3,4
"2","2017-03-20",4,15,7,22,22,"No",4,3,8,7
"3","2017-03-20",13,17,21,38,38,"No",10,11,7,10
"4","2017-03-20",4,7,6,13,14,"Yes",NA,6,4,3
"5","2017-03-20",4,9,9,18,12,"Yes",5,4,4,5
"6","2017-03-20",7,3,3,6,6,"No",2,1,2,1
"7",NA,2,4,4,8,8,"Yes",NA,4,2,2
"8","2017-03-20",7,10,9,19,19,"Yes",4,5,6,4
"9","2017-03-20",4,8,4,12,8,"Yes",1,3,3,5
"10","2017-03-20",3,5,2,7,7,"No",2,0,3,2
"11","2017-03-20",2,4,9,13,14,"No",7,2,2,2
"12","2017-03-20",2,7,4,11,12,"Yes",1,3,6,1
"13","2017-03-20",NA,270,120,390,NA,"No",40,80,120,150
"14","2017-03-20",6,8,9,17,17,"No",4,5,3,5
"15","2017-03-27",10,22,11,33,50,"Yes",8,3,13,9
"16","2017-03-20",13,24,8,32,31,"Yes",2,6,11,13
"17","2017-03-20",3,7,4,11,11,"Yes",2,2,2,5
"18","2017-03-20",1,7,2,9,9,"Yes",1,1,6,1
"19","2017-03-20",5,20,10,30,25,"Yes",4,6,4,16
"20","2017-03-20",4,7,9,16,16,"Yes",5,4,4,3
"21","2017-03-20",4,9,10,19,19,"Yes",6,4,5,4
"22","2017-03-20",NA,70,29,99,NA,"Yes",13,16,30,40
"23","2017-03-20",5,11,12,23,13,"Yes",9,3,7,4
"24","2017-03-20",4,8,5,13,13,"Yes",2,3,2,6
"25","2017-03-20",1,2,4,6,5,"Yes",2,2,1,1
"26","2017-03-20",3,9,6,15,15,"No",1,5,6,3
"27",NA,5,8,3,11,11,"Yes",2,1,5,3
"28","2017-03-20",1,2,5,7,7,"Yes",4,1,1,1
"29","2017-03-20",10,28,12,40,38,NA,4,8,15,13
"30","2017-03-20",NA,6,16,22,NA,"No",7,9,3,3
"31","2017-03-20",7,16,7,23,23,"Yes",4,3,8,8
"32",NA,8,20,21,41,NA,"No",15,6,16,4
"33","2017-03-20",1,4,1,5,3,"Yes",NA,1,2,2
"34","2017-03-20",1,2,4,6,6,"Yes",1,3,1,1
"35","2017-03-20",5,10,8,18,18,"No",4,4,6,4
"36","2017-03-20",3,5,7,12,12,"No",6,1,1,4
"37","2017-03-20",4,8,1,9,9,"Yes",1,0,4,4
"38","2017-03-20",5,8,8,16,16,"No",3,5,4,4
"39","2017-03-20",6,18,4,22,18,"Yes",2,2,10,8
"40","2017-03-20",NA,4,0,4,NA,"No",0,0,1,3
"41","2017-03-20",3,8,11,19,16,NA,4,7,3,5
"42","2017-03-20",NA,7,6,13,9,"Yes",2,4,5,2
"43","2017-03-20",4,8,15,23,22,"Yes",7,8,4,4
"44","2017-03-20",3,12,7,19,19,"No",4,3,6,6
"45","2017-03-20",NA,25,0,25,NA,"No",0,0,12,13
"46","2017-03-20",1,2,2,4,4,"Yes",1,1,1,1
"47","2017-03-20",2,4,1,5,5,"Yes",1,0,2,2
"48","2017-03-20",4,5,0,5,23,"Yes",0,0,2,3
"49","2017-03-20",2,437,11,448,17,"Yes",5,6,3,434
"50","2017-03-20",3,7,7,14,14,"Yes",1,6,3,4
"51","2017-03-20",NA,17,0,17,NA,"No",NA,NA,15,2
"52","2017-03-20",6,14,12,26,26,"No",5,7,7,7
"53","2017-03-20",7,14,18,32,40,"No",10,8,7,7
"54","2017-03-20",NA,16,27,43,9,"No",13,14,8,8
"55","2017-03-20",3,7,2,9,9,"Yes",0,2,4,3
"56","2017-03-20",1,4,2,6,6,"Yes",1,1,1,3
"57","2017-03-20",8,20,1,21,22,"Yes",1,0,10,10
"58","2017-03-20",1,2,4,6,6,"Yes",4,NA,1,1
"59","2017-03-20",6,9,7,16,15,"Yes",4,3,5,4
"60","2017-03-20",2,7,1,8,8,"Yes",NA,1,2,5
"61","2017-03-20",2,8,4,12,11,"Yes",1,3,4,4
"62","2017-03-20",6,11,4,15,15,"Yes",3,1,8,3
"63","2017-03-20",5,10,19,29,29,"Yes",12,7,5,5
