"ID","DATE.OF.INTERVIEW","VIP.toilets","ECOSAN.toilets","Inside.waterflush.toilets","Outside.waterflush.toilets","Poor.flush.Inside","Poor.flush.Outside","Pit.Latrine","Disused.Buried","Total.number.of.toilets.0.","Enough.space.another.toilet","Where.do.you.dispose.your.solid.wastes.","Age.of.toilet..Years...Age","Interface.Layout","CONTAINMENT.SUBSTRUCTURE","Condition.of.the.components..Interface...Score.Condition","Condition.of.the.components..Substructure.Containment....Score.Condition","Record.the.observed.shape.of.the.substructure.containment.","Diameter","Length","Is.washing.hand.basin.present.","Any.overflow.flooding.","area.m3"
"1","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is collected CBEs",3,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,170,"No","No",4.5
"2","2017-03-20",NA,NA,NA,NA,NA,NA,0,NA,0,TRUE,"Bin which is self disposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,1.87,"No","No",4.5
"4","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",5,"Squat hole (Dry toilet)","Pit latrine",4,2,"Rectagular",NA,140,NA,"No",4.5
"5","2017-03-20",NA,1,NA,NA,NA,NA,0,0,1,TRUE,"Bin which is collected CBEs",15,"Squat with pour (bucket) flushing system","Urine diversion toilet",3,3,"Rectagular",NA,25,"No","No",0
"6","2017-03-20",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is self disposed",NA,"Multiple choice","Pit latrine",4,4,"Rectagular",NA,299,"No","No",4.5
"7",NA,NA,NA,1,NA,NA,NA,0,NA,1,FALSE,"Bin which is collected CBEs",3,"Sit down toilet with manual (hand) flushing system","Pit latrine",4,4,"Rectagular",NA,252,"No","No",4.5
"8","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is collected CBEs",11,"Squat hole (Dry toilet)","Septic Tank",3,4,"Rectagular",NA,3.5,"No","No",12.5
"9","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",15,"Sit down toilet with manual (hand) flushing system","Pit latrine",3,3,"Rectagular",NA,165,"No","No",4.5
"10","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",2,"Squat hole (Dry toilet)","Pit latrine",2,2,"Circular",1.54,NA,"No","No",4.5
"11","2017-03-20",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",1,"Multiple choice","Pit latrine",2,1,"Rectagular",NA,12.5,"No","No",4.5
"12","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",7,"Sit down toilet with manual (hand) flushing system","Pit latrine",4,4,"Rectagular",NA,250,"No","No",4.5
"13","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is collected CBEs",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3,"No","No",4.5
"14","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Other (please specify)",2,"Squat hole (Dry toilet)","Pit latrine",NA,3,"Rectagular",NA,101,"No","No",4.5
"15","2017-03-27",2,NA,NA,NA,NA,NA,0,NA,2,TRUE,"Bin which is collected CBEs",13,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,480,"No","No",4.5
"16","2017-03-20",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",12,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,250,"No","No",4.5
"17","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",NA,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,1.82,"Yes","No",12.5
"18","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",1,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.6,"No",NA,4.5
"19","2017-03-20",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",5,NA,"Rectagular",NA,297,"Yes","No",4.5
"20","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",2,"Squat hole (Dry toilet)",NA,3,3,"Rectagular",NA,280,"No","No",0
"21","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",4,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,218,"No","No",4.5
"22","2017-03-20",NA,NA,NA,NA,NA,NA,2,NA,2,TRUE,"SKIP",1,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,4,"No","No",4.5
"23","2017-03-20",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",24,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,3.5,"Yes","No",4.5
"24","2017-03-20",NA,NA,NA,2,NA,NA,0,6,8,FALSE,"Bin which is collected CBEs",4,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,260,"No","No",12.5
"25","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,225,"No","No",4.5
"26","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",12,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.3,"No","No",4.5
"27",NA,NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",2,"Squat hole (Dry toilet)","Pit latrine",2,2,"Circular",1.5,NA,"No","No",4.5
"28","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",4,"Sit down toilet with pour (bucket) flushing system","Pit latrine",3,3,"Rectagular",NA,263,"No","No",4.5
"29","2017-03-20",NA,NA,NA,NA,NA,NA,2,NA,2,TRUE,"Bin which is self disposed",5,"Squat with pour (bucket) flushing system","Septic Tank",4,4,NA,NA,NA,"No","No",12.5
"30","2017-03-20",NA,NA,NA,NA,NA,NA,2,NA,2,TRUE,"Rubbish Pit",8,"Squat hole (Dry toilet)","Pit latrine",2,1,"Rectagular",NA,520,"No","No",4.5
"31","2017-03-20",NA,NA,NA,NA,NA,1,0,0,1,TRUE,"Bin which is collected CBEs",20,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,171,"No","No",12.5
"32",NA,NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",3,"Squat with pour (bucket) flushing system","Pit latrine",3,4,NA,NA,NA,"No","No",4.5
"33","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",2,3,"Rectagular",NA,150,"No","No",4.5
"34","2017-03-20",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",5,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,270,"Yes","No",4.5
"35","2017-03-20",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Rubbish Pit",5,"Sit down toilet with pour (bucket) flushing system","Septic Tank",3,4,"Rectagular",NA,3.75,"Yes","No",12.5
