"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"1","2017-03-20","No","Yes","Empty and reuse","4",NA,NA,NA,6,"Almost full","Yes"
"2","2017-03-20","No",NA,"Multiple options",NA,NA,NA,NA,NA,NA,"No"
"3","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,7,"Almost full","Yes"
"4","2017-03-20","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","No"
"5","2017-03-20","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","Yes"
"6","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","No"
"7",NA,"No","No","Empty and reuse",NA,NA,NA,4,NA,"Half-full","Yes"
"8","2017-03-20","No","No","Other (please specify)",NA,NA,NA,4,NA,"Almost full","Yes"
"9","2017-03-20","No","No","Other (please specify)",NA,NA,NA,1,NA,"Almost full","No"
"10","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"11","2017-03-20","No","No","Other (please specify)",NA,NA,NA,1,6,"Almost full","Yes"
"12","2017-03-20","No","No","Empty and reuse",NA,NA,NA,1,NA,"Almost full","Yes"
"13","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"14","2017-03-20","No",NA,"Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"15","2017-03-27","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost full","Yes"
"16","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"17","2017-03-20","No","No","Other (please specify)",NA,NA,NA,8,NA,"Almost empty","Yes"
"18","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"19","2017-03-20",NA,"Yes","Empty and reuse","4","Very affordable","Every 3 months",0,3,"Half-full","Yes"
"20","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,7,"Half-full","Yes"
"21","2017-03-20",NA,"Yes","Empty and reuse","5","Affordable","Every 9 months",NA,3,"Almost full","No"
"22","2017-03-20","No","No","Empty and reuse",NA,NA,NA,5,NA,"Half-full","Yes"
"23","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,2,"Almost full","Yes"
"24","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Half-full","Yes"
"25","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,24,"Half-full","Yes"
"26","2017-03-20","No","No","Other (please specify)",NA,NA,NA,3,NA,"Almost full","Yes"
"27",NA,"Yes","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","Yes"
"28","2017-03-20","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty",NA
"29","2017-03-20","No","No","Empty and reuse",NA,NA,NA,2,NA,"Almost empty","No"
"30","2017-03-20","No","Yes","Bury and dig another one","Other (please specify)",NA,NA,NA,3,"Almost full","Yes"
"31","2017-03-20",NA,"No","Bury and dig another one",NA,NA,NA,2,NA,"Half-full","Yes"
"32",NA,"No","Yes","Bury and dig another one","5","Very affordable","Every Year",1,NA,"Half-full","Yes"
"33","2017-03-20","Yes","No","Bury and dig another one",NA,NA,NA,0,0,"Almost full","Yes"
"34","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,5,"Almost full","No"
"35","2017-03-20","No","No","Other (please specify)",NA,NA,NA,8,NA,"Almost empty","Yes"
"36","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,1,NA,"Yes"
"37","2017-03-20","Yes","Yes","Empty and reuse","5","Other (please specify)","Every 2 years",NA,2,"Almost full","Yes"
"38","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,5,6,"Almost empty","Yes"
"39","2017-03-20","No",NA,"Empty and reuse",NA,NA,NA,NA,NA,"Half-full","No"
"40","2017-03-20","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"41","2017-03-20","Yes","Yes","Empty and reuse","5","Too expensive","Every six months",NA,6,"Half-full","No"
"42","2017-03-20","No","No","Other (please specify)",NA,NA,NA,1,0,"Almost full","Yes"
"43","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","No"
"44","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,1,12,"Half-full","Yes"
"45","2017-03-20","No","Yes","Empty and reuse","3","Too expensive","Every six months",NA,3,"Almost full","Yes"
"46","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,10,0,"Almost empty","No"
"47","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,2,NA,"Almost full","Yes"
"48","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"49","2017-03-20","No","Yes","Empty and reuse","3","Not affordable","Every 1 year Six Months",NA,2,"Almost full","Yes"
"50","2017-03-20","No","No","Abandone",NA,NA,NA,10,NA,"Almost empty","Yes"
"51","2017-03-20","Yes",NA,"Bury and dig another one",NA,NA,NA,5,NA,"Almost empty","Yes"
"52","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,1,NA,"Half-full","Yes"
"53","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,3,"Almost full","Yes"
"54","2017-03-20","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"55","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","No"
"56","2017-03-20","No","No","Other (please specify)",NA,NA,NA,5,0,"Half-full","Yes"
"57","2017-03-20","Yes","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"58","2017-03-20","No","No","Other (please specify)",NA,NA,NA,10,NA,"Almost empty","Yes"
"59","2017-03-20","No","Yes","Empty and reuse","3","Affordable","Every 9 months",NA,2,"Half-full","Yes"
"60","2017-03-20","No","Yes","Abandone","5","Affordable","Every 1 year Six Months",NA,2,"Almost full","Yes"
"61","2017-03-20","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"62","2017-03-20","No","Yes","Bury and dig another one","5","Too expensive","Every 2 years",NA,5,"Half-full","Yes"
"63","2017-03-20","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
